,Unit,Air,Combustion Gas,Flue Gas,Controlled OutPut,Liquid Out,Fuel,Liquid Expanded,To Gas Combustor,Final Product
Vapour Fraction,,1,1,1,1,1,1,1,1,1
Temperature,C,40,2008.15526262056,1744.48024725115,39.9713948108583,2008.15526262056,40,2008.16875558406,39.9299782183799,1744.4847866419
Pressure,kPa,1000,988.026646132666,413.502869930882,988.026646132666,988.026646132666,1000,960,988.026646132666,400
Molar Flow,kgmole/h,2600.0641773964,2858.47742377245,2858.47742377245,2600.0641773964,9.68465259344928,218.405390901302,9.68465259344928,218.405390901302,2858.47742377245
Mass Flow,kg/h,75012.5545381685,79288.5991374083,79288.5991374083,75012.5545381685,268.633409828948,4545.47377275205,268.633409828948,4545.47377275205,79288.5991374083
Liquid Volume Flow,m3/h,86.7145662834635,97.8273698694564,97.8273698694564,86.7145662834635,0.331443615204838,13.0440312716667,0.331443615204838,13.0440312716667,97.8273698694564
Heat Flow,kJ/h,951109.845397616,-16159760.1766521,-49555478.5983252,951109.845397616,-54750.0085195018,-17165620.0305693,-54750.0085195988,-17165620.0305693,-49555478.5983252
