,Unit,Air,Combustion Gas,Flue Gas,Controlled OutPut,Liquid Out,Fuel,Liquid Expanded,To Gas Combustor,Final Product
,,,,,,,,,,
Vapour Fraction,,1,1,1,1,1,1,1,1,1
Temperature,C,40,1849.32704316557,1591.17621341649,39.9524909623992,1849.32704316557,40,1849.33501458029,39.883709864353,1591.18066977293
Pressure,kPa,1000,980.119007780659,414.291132486147,980.119007780659,980.119007780659,1000,960,980.119007780659,400
Molar Flow,kgmole/h,2658.72578345488,3119.09933732216,3119.09933732216,2658.72578345488,8.67518753025952,279.166207267629,8.67518753025952,279.166207267629,3119.09933732216
Mass Flow,kg/h,76704.9577342176,82285.3901650689,82285.3901650689,76704.9577342176,228.861319721673,5810.03366325837,228.861319721673,5810.03366325837,82285.3901650689
Liquid Volume Flow,m3/h,88.6709855792158,102.320370903521,102.320370903521,88.6709855792158,0.284584846379349,16.6729068479684,0.284584846379349,16.6729068479684,102.320370903521
Heat Flow,kJ/h,972568.404973106,-20910403.0959976,-54306121.4321204,972568.404973106,-58158.3490744106,-21941129.84755,-58158.3490734512,-21941129.84755,-54306121.4321204
