,Air,Combustion Gas,Flue Gas,Controlled OutPut,Liquid Out,Fuel,Liquid Expanded,To Gas Combustor,Final Product
Comp Mole Frac (Methane),0,2.62249148647235E-13,2.62249148647345E-13,0,2.62249148647235E-13,0.8,2.62249148647235E-13,0.8,2.62249148647345E-13
Comp Mole Frac (Propane),0,1.57561973763384E-38,1.57561973763543E-38,0,1.57561973763384E-38,0.1,1.57561973763384E-38,0.1,1.57561973763543E-38
Comp Mole Frac (i-Pentane),0,9.55350562880594E-39,9.55350562881655E-39,0,9.55350562880594E-39,0.02,9.55350562880594E-39,0.02,9.55350562881655E-39
Comp Mole Frac (i-Butane),0,8.1573999721199E-40,8.1573999721472E-40,0,8.1573999721199E-40,0.01,8.1573999721199E-40,0.01,8.1573999721472E-40
Comp Mole Frac (Ethane),0,2.20027324227002E-26,2.20027324227152E-26,0,2.20027324227002E-26,0.05,2.20027324227002E-26,0.05,2.20027324227152E-26
Comp Mole Frac (CO),0,0.0298412545451416,0.029841254545145,0,0.0298412545451416,0,0.0298412545451416,0,0.029841254545145
Comp Mole Frac (CO2),0,0.0804823779409008,0.0804823779408983,0,0.0804823779409008,0,0.0804823779409008,0,0.0804823779408983
Comp Mole Frac (H2O),0,0.179387840603973,0.179387840603973,0,0.179387840603973,0,0.179387840603973,0,0.179387840603973
Comp Mole Frac (Hydrogen),0,0.0132668609014374,0.0132668609014393,0,0.0132668609014374,0.02,0.0132668609014374,0.02,0.0132668609014393
Comp Mole Frac (NO2),0,1.02303131402955E-08,1.02303131402952E-08,0,1.02303131402955E-08,0,1.02303131402955E-08,0,1.02303131402952E-08
Comp Mole Frac (NO),0,0.000202024065034898,0.000202024065034902,0,0.000202024065034898,0,0.000202024065034898,0,0.000202024065034902
Comp Mole Frac (Oxygen),0.21,4.69575158800364E-05,4.69575158800347E-05,0.21,4.69575158800364E-05,0,4.69575158800364E-05,0,4.69575158800347E-05
Comp Mole Frac (Nitrogen),0.79,0.696772674197057,0.696772674197054,0.79,0.696772674197057,0,0.696772674197057,0,0.696772674197054
NOx (ppm),,,202.034295348042,,,,,,
CO (ppm),,,29841.254545145,,,,,,
