,Unit,Air,Combustion Gas,Flue Gas,Controlled OutPut,Liquid Out,Fuel,Liquid Expanded,To Gas Combustor,Final Product
Vapour Fraction,,1,1,1,1,1,1,1,1,1
Temperature,C,40,1810.82200816101,1554.69024171811,39.9749788046328,1810.82200816101,40,1810.83403591533,39.9387507887317,1554.69543614113
Pressure,kPa,1000,989.526309140917,415.226024854521,989.526309140917,989.526309140917,1000,960,989.526309140917,400
Molar Flow,kgmole/h,2922.61739945888,3152.62111758473,3152.62111758473,2922.61739945888,10.2805189877637,204.583217962118,10.2805189877637,204.583217962118,3152.62111758473
Mass Flow,kg/h,84318.3022084633,88287.4340761303,88287.4340761298,84318.3022084633,287.900324380226,4257.80539461254,287.900324380226,4257.80539461254,88287.4340761298
Liquid Volume Flow,m3/h,97.4720171947289,110.486762604538,110.486762604807,97.4720171947289,0.360291077959501,12.2185165931276,0.360291077959501,12.2185165931276,110.486762604807
Heat Flow,kJ/h,1069100.60417823,-14961374.4901986,-48357092.9123191,1069100.60417823,-48788.1952168365,-16079263.2896004,-48788.1952168567,-16079263.2896004,-48357092.9123191
