,Air,Combustion Gas,Flue Gas,Controlled OutPut,Liquid Out,Fuel,Liquid Expanded,To Gas Combustor,Final Product
Comp Mole Frac (Methane),0,2.26089739239521E-16,2.26089739239521E-16,0,2.26089739239521E-16,0.8,2.26089739239521E-16,0.8,2.26089739239521E-16
Comp Mole Frac (Propane),0,6.86741436989389E-39,6.86741436989389E-39,0,6.86741436989389E-39,0.1,6.86741436989389E-39,0.1,6.86741436989389E-39
Comp Mole Frac (i-Pentane),0,9.05649894454708E-39,9.05649894454708E-39,0,9.05649894454708E-39,0.02,9.05649894454708E-39,0.02,9.05649894454708E-39
Comp Mole Frac (i-Butane),0,3.31781288477415E-39,3.31781288477415E-39,0,3.31781288477415E-39,0.01,3.31781288477415E-39,0.01,3.31781288477415E-39
Comp Mole Frac (Ethane),0,9.56638501055179E-32,9.56638501055179E-32,0,9.56638501055179E-32,0.05,9.56638501055179E-32,0.05,9.56638501055179E-32
Comp Mole Frac (CO),0,0.00644124254443201,0.00644124254443201,0,0.00644124254443201,0,0.00644124254443201,0,0.00644124254443201
Comp Mole Frac (CO2),0,0.0955973508179639,0.0955973508179639,0,0.0955973508179639,0,0.0955973508179639,0,0.0955973508179639
Comp Mole Frac (H2O),0,0.175866683837027,0.175866683837027,0,0.175866683837027,0,0.175866683837027,0,0.175866683837027
Comp Mole Frac (Hydrogen),0,0.0023201135271575,0.0023201135271575,0,0.0023201135271575,0.02,0.0023201135271575,0.02,0.0023201135271575
Comp Mole Frac (NO2),0,6.29668781545941E-07,6.29668781545941E-07,0,6.29668781545941E-07,0,6.29668781545941E-07,0,6.29668781545941E-07
Comp Mole Frac (NO),0,0.00174183574707858,0.00174183574707858,0,0.00174183574707858,0,0.00174183574707859,0,0.00174183574707858
Comp Mole Frac (Oxygen),0.21,0.00274764845345125,0.00274764845345125,0.21,0.00274764845345125,0,0.00274764845345125,0,0.00274764845345125
Comp Mole Frac (Nitrogen),0.79,0.715284495404108,0.715284495404108,0.79,0.715284495404108,0,0.715284495404108,0,0.715284495404108
NOx (ppm),,,1742.46541586013,,,,,,
CO (ppm),,,6441.24254443201,,,,,,
