,Air,Combustion Gas,Flue Gas,Controlled OutPut,Liquid Out,Fuel,Liquid Expanded,To Gas Combustor,Final Product
Comp Mole Frac (Methane),0,2.19908865594669E-20,2.19908865594669E-20,0,2.19908865594669E-20,0.8,2.19908865594669E-20,0.8,2.19908865594669E-20
Comp Mole Frac (Propane),0,7.01217191664718E-39,7.01217191664718E-39,0,7.01217191664718E-39,0.1,7.01217191664718E-39,0.1,7.01217191664718E-39
Comp Mole Frac (i-Pentane),0,7.44739719665152E-42,7.44739719665152E-42,0,7.44739719665152E-42,0.02,7.44739719665152E-42,0.02,7.44739719665152E-42
Comp Mole Frac (i-Butane),0,4.59212051071572E-39,4.59212051071572E-39,0,4.59212051071572E-39,0.01,4.59212051071572E-39,0.01,4.59212051071572E-39
Comp Mole Frac (Ethane),0,1.17153123515368E-38,1.17153123515368E-38,0,1.17153123515368E-38,0.05,1.17153123515368E-38,0.05,1.17153123515368E-38
Comp Mole Frac (CO),0,0.00042844854017894,0.00042844854017894,0,0.00042844854017894,0,0.00042844854017894,0,0.00042844854017894
Comp Mole Frac (CO2),0,0.0862456069850925,0.0862456069850925,0,0.0862456069850925,0,0.0862456069850925,0,0.0862456069850925
Comp Mole Frac (H2O),0,0.151195729997718,0.151195729997718,0,0.151195729997718,0,0.151195729997718,0,0.151195729997718
Comp Mole Frac (Hydrogen),0,0.000160456516561873,0.000160456516561873,0,0.000160456516561873,0.02,0.000160456516561873,0.02,0.000160456516561873
Comp Mole Frac (NO2),0,5.9769712338294E-06,5.97697123382939E-06,0,5.9769712338294E-06,0,5.9769712338294E-06,0,5.97697123382939E-06
Comp Mole Frac (NO),0,0.0036971728890679,0.0036971728890679,0,0.0036971728890679,0,0.0036971728890679,0,0.0036971728890679
Comp Mole Frac (Oxygen),0.21,0.0301341332972137,0.0301341332972137,0.21,0.0301341332972137,0,0.0301341332972137,0,0.0301341332972137
Comp Mole Frac (Nitrogen),0.79,0.728132474802933,0.728132474802933,0.79,0.728132474802933,0,0.728132474802933,0,0.728132474802933
Nox (ppm),,,3703.14986030173,,,,,,
CO (ppm),,,428.44854017894,,,,,,
