,Unit,Air,Combustion Gas,Flue Gas,Controlled OutPut,Liquid Out,Fuel,Liquid Expanded,To Gas Combustor,Final Product
Vapour Fraction,,1,1,1,1,1,1,1,1,1
Temperature,C,40,1958.54900515962,1696.10818973284,39.9645084168748,1958.54900515962,40,1958.56024108474,39.9131228015828,1696.11255894123
Pressure,kPa,1000,985.145549467835,413.671552565289,985.145549467835,985.145549467835,1000,960,985.145549467835,400
Molar Flow,kgmole/h,2598.7760034487,2936.7053005368,2936.7053005368,2598.7760034487,9.3566160249114,242.552426988545,9.3566160249114,242.552426988545,2936.7053005368
Mass Flow,kg/h,74975.3903714735,79768.4928259088,79768.4928259085,74975.3903714735,254.149831827354,5048.02418495254,254.149831827353,5048.02418495254,79768.4928259085
Liquid Volume Flow,m3/h,86.6716044803883,97.6458566742088,97.6458566742086,86.6716044803883,0.311108774570298,14.4861874956511,0.311108774570297,14.4861874956511,97.6458566742086
Heat Flow,kJ/h,950638.628211938,-18055297.1924112,-51451015.6144981,950638.628211938,-57525.8549144078,-19063461.6755375,-57525.8549144096,-19063461.6755375,-51451015.6144981
